iter	Passed	Remaining
0	45	453842
1	67	337894
2	112	374601
3	154	386294
4	199	398256
5	246	410085
6	289	413095
7	356	445505
8	410	455584
9	478	478240
10	533	484044
11	582	484912
12	630	484497
13	680	485472
14	726	483808
15	772	481931
16	815	479089
17	859	476670
18	905	475812
19	949	473841
20	994	472555
21	1037	470741
22	1079	468265
23	1120	465896
24	1163	464290
25	1203	461824
26	1244	459696
27	1285	457790
28	1326	455981
29	1369	455086
30	1410	453462
31	1452	452329
32	1492	450821
33	1535	450035
34	1577	449153
35	1619	448244
36	1660	447229
37	1701	445994
38	1743	445263
39	1786	444788
40	1832	445149
41	1875	444759
42	1932	447502
43	1989	450237
44	2042	451940
45	2100	454457
46	2145	454255
47	2187	453488
48	2229	452730
49	2271	451975
50	2314	451514
51	2356	450842
52	2400	450511
53	2444	450222
54	2490	450251
55	2532	449616
56	2572	448817
57	2613	447921
58	2654	447229
59	2696	446732
60	2738	446217
61	2782	445975
62	2826	445818
63	2870	445691
64	2919	446230
65	2962	445964
66	3006	445664
67	3049	445404
68	3092	445128
69	3137	445008
70	3203	447952
71	3248	447940
72	3291	447569
73	3335	447354
74	3377	446946
75	3418	446431
76	3460	445963
77	3502	445535
78	3544	445064
79	3586	444747
80	3628	444388
81	3679	445023
82	3726	445232
83	3774	445551
84	3818	445430
85	3877	447010
86	3925	447228
87	3968	447044
88	3976	442871
89	4021	442849
90	4066	442750
91	4108	442457
92	4150	442137
93	4193	441904
94	4238	441909
95	4280	441621
96	4321	441219
97	4367	441301
98	4413	441388
99	4464	441983
100	4511	442215
101	4558	442358
102	4607	442702
103	4654	442924
104	4700	442955
105	4744	442809
106	4787	442629
107	4832	442620
108	4882	443042
109	4931	443368
110	4977	443432
111	5036	444610
112	5090	445420
113	5144	446087
114	5205	447428
115	5249	447267
116	5293	447127
117	5336	446915
118	5384	447102
119	5429	447000
120	5477	447225
121	5527	447506
122	5574	447668
123	5618	447449
124	5661	447236
125	5709	447421
126	5757	447608
127	5808	447950
128	5850	447702
129	5895	447598
130	5939	447420
131	5980	447058
132	6023	446902
133	6065	446594
134	6106	446225
135	6153	446341
136	6216	447565
137	6258	447240
138	6301	447011
139	6343	446767
140	6385	446457
141	6427	446193
142	6469	445910
143	6511	445651
144	6551	445280
145	6593	444993
146	6634	444694
147	6677	444529
148	6721	444361
149	6764	444230
150	6828	445389
151	6873	445327
152	6925	445739
153	6982	446434
154	7039	447116
155	7101	448122
156	7142	447808
157	7183	447450
158	7225	447202
159	7267	446943
160	7309	446669
161	7351	446415
162	7392	446111
163	7431	445733
164	7473	445488
165	7516	445276
166	7560	445153
167	7601	444848
168	7641	444522
169	7682	444211
170	7723	443959
171	7768	443893
172	7811	443742
173	7855	443608
174	7898	443465
175	7943	443408
176	7987	443298
177	8030	443128
178	8072	442919
179	8117	442843
180	8162	442815
181	8216	443216
182	8270	443696
183	8314	443573
184	8355	443274
185	8398	443140
186	8441	442982
187	8484	442823
188	8532	442898
189	8575	442775
190	8618	442604
191	8661	442463
192	8704	442324
193	8748	442201
194	8791	442074
195	8833	441860
196	8876	441704
197	8917	441463
198	8958	441231
199	9000	441009
200	9041	440807
201	9085	440678
202	9127	440518
203	9170	440354
204	9213	440219
205	9255	440046
206	9298	439905
207	9341	439791
208	9384	439645
209	9426	439456
210	9468	439274
