"review","aspect","answer","ip","session"
"81ca6e9c-9247-4c5a-9461-56222f1d2943",c9c33581-7574-4b5c-9fea-184977d30231,0,"3.78.232.236",
"1d2c9802-a593-49e5-8981-64849a70e9a6",bb6625fd-7d5e-43a8-8709-ff55d3dce54e,0,"3.78.232.236",
"1f36dc51-7ce2-489c-9da6-521be692f1f6","7544eeab-22fa-4c9e-bb73-106b67e75be2",2,"46.39.53.204",
"65c6e3aa-35c2-479a-9406-69624d6c796d",b6c1ca7e-40a8-4322-b83e-d0da892dd1df,2,"46.39.53.204",
e5c56a65-2cdc-4ec6-ab05-6b99f4ba8afc,b6c1ca7e-40a8-4322-b83e-d0da892dd1df,2,"46.39.53.204",
"95ebe866-13da-46cb-90b4-490902bb2d9a",bb6625fd-7d5e-43a8-8709-ff55d3dce54e,2,"46.39.53.204",
bc464081-90e5-404d-8aea-ed7673bcad2c,"32a9e6c3-bc2a-4b06-93e3-e8229ff7fd94",2,"46.39.53.204",
"3a8904ae-bbeb-49a7-90e1-daf21db2a708","7544eeab-22fa-4c9e-bb73-106b67e75be2",1,"46.39.53.204",
c2f2843c-ebe9-4d91-825c-d3c8d0dfed3e,"5d3b2e5c-8c64-46bc-bb7c-c197bb1e642b",2,"46.39.53.204",
a5ad246c-d4ef-460e-9ff5-29639feddca8,b6c1ca7e-40a8-4322-b83e-d0da892dd1df,1,"46.39.53.204",
"84781788-c398-4b8c-b7d7-9e7d1830e2d4","7544eeab-22fa-4c9e-bb73-106b67e75be2",2,"46.39.53.204",
"00ce7da4-27dc-41b7-825e-d9c501defabb","654d26ad-dd28-4097-86df-39508776d3ea",2,"46.39.53.204",
"0b7f47bb-d8c1-40cf-ba46-f00bfe6bac34",b6c1ca7e-40a8-4322-b83e-d0da892dd1df,2,"46.39.53.204",
"294dd6ae-0e9b-4dd5-bd52-e9560b5e7bd1","7544eeab-22fa-4c9e-bb73-106b67e75be2",2,"46.39.53.204",
"6d11d5d5-0392-4e71-8f16-8089466ce4a6",bb6625fd-7d5e-43a8-8709-ff55d3dce54e,2,"213.87.163.226",
d9e9e4a4-906f-4094-8d42-68cf04282b32,"7544eeab-22fa-4c9e-bb73-106b67e75be2",2,"213.87.163.226",
eeeb73ce-46d3-47fa-b023-3c1805bf3a93,"654d26ad-dd28-4097-86df-39508776d3ea",2,"213.87.163.226",
