Review;5d3b2e5c-8c64-46bc-bb7c-c197bb1e642b;b6c1ca7e-40a8-4322-b83e-d0da892dd1df;32a9e6c3-bc2a-4b06-93e3-e8229ff7fd94;7544eeab-22fa-4c9e-bb73-106b67e75be2;c9c33581-7574-4b5c-9fea-184977d30231;e9d8bc5c-73e7-4735-be71-3f2f5893c8e5;faaf2cee-d718-4b0e-8d6a-56633d0181d7;bb6625fd-7d5e-43a8-8709-ff55d3dce54e;654d26ad-dd28-4097-86df-39508776d3ea
8a4c6008-f5dc-4597-8528-d7e2671419bb;1;2;1;2;1;1;1;1;2
68e69539-b195-47f6-8749-ea1c45c25b47;1;2;1;2;1;1;1;2;2
db0a0fc5-1ec6-4594-b445-98015ff05c62;1;2;1;2;1;1;1;1;2
75275471-97ed-4f32-8540-dabf7455acd4;1;2;1;2;1;2;1;2;2
59528af8-aa6b-45b8-bbbd-55d64a144446;2;1;1;1;1;1;1;2;2
0a737fbe-7f34-4b00-9e58-9cbc7e474f64;1;2;1;2;1;1;1;2;1
3760ec37-9266-4752-87b1-c5de23279d53;0;1;1;1;2;2;2;2;1
a6244250-e518-4e07-a737-d1058326a267;2;1;1;1;1;1;1;1;2
17f07e92-a5f0-4d65-abac-dd50d65b8fba;2;2;0;2;0;0;0;2;0
c945dcfd-9444-49cf-bb93-70ce6d6ee82d;1;1;1;2;1;2;2;2;0
a5e6e94a-091c-4180-9df3-dcb64a9986b7;1;2;1;2;1;2;1;1;2
604d3ef4-5438-4596-b8de-8c3feb311803;1;2;1;1;1;2;1;2;1
de096545-d666-4038-a3b3-7422da0e25e8;2;1;1;2;2;2;1;1;1
c78b33ad-061a-4a76-b857-0d4103e56893;1;1;1;2;1;2;1;1;1
